,Rank,Name,Age,Exp,G,Rsh,RshYd,RshTD,Rec,RecYd,Y/Rec,RecTD,FP/G,FantPt,week,year,position
100,101,Rondale Moore ARI,23.0,3.0,1,0,0,0,1,14,14.0,0,2.4,2.4,2,2023,wr
101,102,Van Jefferson LAR,27.0,4.0,1,0,0,0,1,9,9.0,0,1.9,1.9,2,2023,wr
102,103,Zach Pascal ARI,29.0,7.0,1,0,0,0,1,9,9.0,0,1.9,1.9,2,2023,wr
103,104,Calvin Austin III PIT,24.0,2.0,1,1,-2,0,1,10,10.0,0,1.8,1.8,2,2023,wr
104,105,Rakim Jarrett TB,22.0,1.0,1,0,0,0,1,7,7.0,0,1.7,1.7,2,2023,wr
105,106,Quentin Johnston LAC,22.0,1.0,1,0,0,0,1,7,7.0,0,1.7,1.7,2,2023,wr
106,107,Isaiah McKenzie IND,28.0,7.0,1,0,0,0,1,7,7.0,0,1.7,1.7,2,2023,wr
107,108,Donovan Peoples-Jones CLE,24.0,4.0,1,0,0,0,1,7,7.0,0,1.7,1.7,2,2023,wr
108,109,Mecole Hardman Jr. NYJ,25.0,5.0,1,0,0,0,1,6,6.0,0,1.6,1.6,2,2023,wr
109,110,Samori Toure GB,25.0,2.0,1,0,0,0,1,6,6.0,0,1.6,1.6,2,2023,wr
110,111,Jamal Agnew JAX,28.0,7.0,1,0,0,0,1,5,5.0,0,1.5,1.5,2,2023,wr
111,112,Miles Boykin PIT,27.0,5.0,1,0,0,0,1,5,5.0,0,1.5,1.5,2,2023,wr
112,113,Devin Duvernay BAL,26.0,4.0,1,3,15,0,0,0,,0,1.5,1.5,2,2023,wr
113,114,Lil'Jordan Humphrey DEN,25.0,5.0,1,0,0,0,1,4,4.0,0,1.4,1.4,2,2023,wr
114,115,Byron Pringle WAS,30.0,6.0,1,0,0,0,1,4,4.0,0,1.4,1.4,2,2023,wr
115,116,Sterling Shepard NYG,30.0,8.0,1,0,0,0,1,4,4.0,0,1.4,1.4,2,2023,wr
116,117,Jake Bobo SEA,25.0,1.0,1,0,0,0,1,3,3.0,0,1.3,1.3,2,2023,wr
117,118,Michael Gallup DAL,27.0,6.0,1,0,0,0,1,3,3.0,0,1.3,1.3,2,2023,wr
118,119,Antoine Green DET,24.0,1.0,1,0,0,0,1,2,2.0,0,1.2,1.2,2,2023,wr
119,120,Deven Thompkins TB,24.0,2.0,1,1,11,0,0,0,,0,1.1,1.1,2,2023,wr
120,121,Derius Davis LAC,23.0,1.0,1,1,10,0,0,0,,0,1.0,1.0,2,2023,wr
121,122,Gunner Olszewski PIT,27.0,5.0,1,0,0,0,1,0,0.0,0,1.0,1.0,2,2023,wr
122,123,Laviska Shenault Jr CAR,25.0,4.0,1,1,7,0,0,0,,0,0.7,0.7,2,2023,wr
123,124,Erik Ezukanma MIA,23.0,2.0,1,3,5,0,0,0,,0,0.5,0.5,2,2023,wr
124,125,Ronnie Bell SF,23.0,1.0,1,0,0,0,0,0,,0,0.0,0.0,2,2023,wr
125,126,Jalen Brooks DAL,23.0,1.0,1,0,0,0,0,0,,0,0.0,0.0,2,2023,wr
126,127,DeAndre Carter LV,30.0,9.0,1,0,0,0,0,0,,0,0.0,0.0,2,2023,wr
127,128,Randall Cobb NYJ,33.0,13.0,1,0,0,0,0,0,,0,0.0,0.0,2,2023,wr
128,129,Marquise Goodwin CLE,33.0,11.0,1,0,0,0,0,0,,0,0.0,0.0,2,2023,wr
129,130,Malik Heath GB,23.0,1.0,1,0,0,0,0,0,,0,0.0,0.0,2,2023,wr
130,131,KhaDarel Hodge ATL,28.0,6.0,1,0,0,0,0,0,,0,0.0,0.0,2,2023,wr
131,132,Xavier Hutchinson HOU,23.0,1.0,1,0,0,0,0,0,,0,0.0,0.0,2,2023,wr
132,133,Andrei Iosivas CIN,24.0,1.0,1,0,0,0,0,0,,0,0.0,0.0,2,2023,wr
133,134,Trenton Irwin CIN,28.0,5.0,1,0,0,0,0,0,,0,0.0,0.0,2,2023,wr
134,135,Richie James KC,28.0,6.0,1,0,0,0,0,0,,0,0.0,0.0,2,2023,wr
135,136,Marvin Jones Jr DET,33.0,12.0,1,0,0,0,0,0,,0,0.0,0.0,2,2023,wr
136,137,Tim Jones JAX,25.0,3.0,1,0,0,0,0,0,,0,0.0,0.0,2,2023,wr
137,138,Zay Jones JAX,28.0,7.0,1,0,0,0,0,0,,0,0.0,0.0,2,2023,wr
138,139,Keith Kirkwood NO,29.0,6.0,1,0,0,0,0,0,,0,0.0,0.0,2,2023,wr
139,140,Terrace Marshall Jr CAR,23.0,3.0,1,0,0,0,0,0,,0,0.0,0.0,2,2023,wr
140,141,Ray-Ray McCloud III SF,27.0,6.0,1,0,0,0,0,0,,0,0.0,0.0,2,2023,wr
141,142,Scotty Miller ATL,26.0,5.0,1,0,0,0,0,0,,0,0.0,0.0,2,2023,wr
142,143,Ty Montgomery II NE,30.0,9.0,1,0,0,0,0,0,,0,0.0,0.0,2,2023,wr
