,Rank,Name,Age,Exp,G,Rsh,RshYd,Y/Rsh,RshTD,Rec,RecYd,RecTD,FP/G,FantPt,week,year,position
55,56,Jamaal Williams NO,28.0,7.0,1,9,29,3.2,0,0,0,0,2.9,2.9,2,2023,rb
56,57,D'Ernest Johnson JAX,27.0,5.0,1,1,8,8.0,0,1,9,0,2.7,2.7,2,2023,rb
57,58,Emari Demercado ARI,24.0,1.0,1,1,-2,-2.0,0,2,7,0,2.5,2.5,2,2023,rb
58,59,Rashaad Penny PHI,27.0,6.0,1,3,9,3.0,0,1,5,0,2.4,2.4,2,2023,rb
59,60,Trayveon Williams CIN,26.0,5.0,1,0,0,,0,2,4,0,2.4,2.4,2,2023,rb
60,61,Dalvin Cook NYJ,28.0,7.0,1,4,7,1.8,0,1,5,0,2.2,2.2,2,2023,rb
61,62,Zamir White LV,24.0,2.0,1,4,22,5.5,0,0,0,0,2.2,2.2,2,2023,rb
62,63,Michael Carter NYJ,24.0,3.0,1,2,8,4.0,0,1,3,0,2.1,2.1,2,2023,rb
63,64,De'Von Achane MIA,22.0,1.0,1,1,5,5.0,0,1,4,0,1.9,1.9,2,2023,rb
64,65,Ameer Abdullah LV,30.0,9.0,1,0,0,,0,1,5,0,1.5,1.5,2,2023,rb
65,66,Craig Reynolds DET,27.0,5.0,1,3,7,2.3,0,1,-2,0,1.5,1.5,2,2023,rb
66,67,Ronnie Rivers LAR,24.0,2.0,1,0,0,,0,1,4,0,1.4,1.4,2,2023,rb
67,68,Ezekiel Elliott NE,28.0,8.0,1,5,13,2.6,0,0,0,0,1.3,1.3,2,2023,rb
68,69,Reggie Gilliam BUF,26.0,4.0,1,0,0,,0,1,3,0,1.3,1.3,2,2023,rb
69,70,Chase Edmonds TB,27.0,6.0,1,2,12,6.0,0,0,0,0,1.2,1.2,2,2023,rb
70,71,Breece Hall NYJ,22.0,2.0,1,4,9,2.3,0,0,0,0,0.9,0.9,2,2023,rb
71,72,Sean Tucker TB,22.0,1.0,1,8,7,0.9,0,0,0,0,0.7,0.7,2,2023,rb
72,73,Keaontay Ingram ARI,24.0,2.0,1,2,6,3.0,0,0,0,0,0.6,0.6,2,2023,rb
73,74,Matt Breida NYG,28.0,7.0,1,1,5,5.0,0,0,0,0,0.5,0.5,2,2023,rb
74,75,Emanuel Wilson GB,24.0,1.0,1,3,5,1.7,0,0,0,0,0.5,0.5,2,2023,rb
75,76,Dare Ogunbowale HOU,29.0,7.0,1,2,4,2.0,0,0,0,0,0.4,0.4,2,2023,rb
